fac_item_number,item_ssic,facility_code,creation_date,process_status,error_message,request_id
305598335,0000598335,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305752113,0000752113,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305238004,0000238004,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305668084,0000668084,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305668096,0000668096,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305611307,0000611307,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30566180,0000066180,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305174884,0000174884,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305972608,0000972608,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904792273,0000792273,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904792274,0000792274,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904792289,0000792289,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90438008,0000038008,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904669799,0000669799,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904579492,0000579492,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904579572,0000579572,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905630262,0000630262,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905605157,0000605157,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905964642,0000964642,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905438355,0000438355,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905873051,0000873051,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905870182,0000870182,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
